Bar0, 314
Bar1, 353
Bar2, 336
Bar3, 381
Bar4, 521
Bar5, 594
Bar6, 689
Bar7, 706
Bar8, 908
Bar9, 919
Bar10, 1384
Bar11, 1480
Bar12, 1760
Bar13, 1883
Bar14, 2225
Bar15, 2421
Bar16, 2410
Bar17, 2685
Bar18, 2970
Bar19, 3396
Bar20, 3015
Bar21, 3464
Bar22, 3094
Bar23, 3447
Bar24, 4058
Bar25, 4702
Bar26, 3441
Bar27, 4506
Bar28, 3492
Bar29, 4697
Bar30, 3015
Bar31, 4293
Bar32, 3480
Bar33, 4803
Bar34, 2825
Bar35, 3929
Bar36, 2303
Bar37, 3010
Bar38, 3279
Bar39, 4360
Bar40, 2472
Bar41, 3940
Bar42, 2629
Bar43, 4371
Bar44, 2326
Bar45, 4159
Bar46, 2326
Bar47, 4467
Bar48, 2197
Bar49, 3833
Bar50, 1715
Bar51, 2819
Bar52, 2287
Bar53, 3800
Bar54, 1681
Bar55, 3906
Bar56, 1821
Bar57, 4175
Bar58, 1597
Bar59, 4192
Bar60, 1463
Bar61, 4226
Bar62, 1009
Bar63, 2701
Bar64, 829
Bar65, 1872
Bar66, 813
Bar67, 2427
Bar68, 448
Bar69, 2584
Bar70, 213
Bar71, 2780
Bar72, 45
Bar73, 2427
Bar74, -6
Bar75, 841
